lat,long,prof_km,mag_m,mag_ms,mag_mw,type,fecha,hora
-16.5,-73.0,0,0.0,7.2,0.0,historico,1922-01-06,09:11:02
-3.76,-71.89,635,0.0,7.6,0.0,historico,1922-01-16,22:50:33
-16.0,-72.5,50,7.6,7.4,0.0,historico,1922-10-11,09:49:50
-4.0,-82.0,60,0.0,6.8,0.0,historico,1924-03-11,17:44:23
-2.0,-72.0,0,0.0,6.9,0.0,historico,1924-03-15,20:22:36
-14.0,-73.5,200,0.0,6.5,0.0,historico,1925-01-05,08:45:46
-8.0,-75.0,0,0.0,6.9,0.0,historico,1925-09-12,04:26:00
-18.0,-73.0,0,0.0,6.9,0.0,historico,1925-10-24,23:30:00
-9.5,-84.0,0,0.0,6.8,0.0,historico,1926-03-07,15:32:30
-5.27,-77.45,93,0.0,6.5,0.0,historico,1926-03-07,15:33:38
-12.52,-77.073,80,0.0,7.2,0.0,historico,1926-03-11,05:41:54
-17.0,-78.5,0,0.0,6.8,0.0,historico,1926-06-04,20:20:15
-5.0,-81.5,0,0.0,6.8,0.0,historico,1926-07-01,15:29:30
-2.5,-71.0,0,0.0,6.8,0.0,historico,1926-07-13,20:38:40
-6.0,-81.5,0,0.0,6.0,0.0,historico,1927-03-13,00:32:26
-10.0,-70.0,600,0.0,6.0,0.0,historico,1927-04-06,13:54:05
-13.0,-69.5,30,0.0,6.9,0.0,historico,1928-04-09,12:34:15
-13.0,-69.5,259,0.0,6.8,0.0,historico,1928-04-27,15:34:58
-5.194,-78.335,30,6.2,7.3,0.0,historico,1928-05-14,17:14:46
-5.454,-77.873,70,5.4,7.0,0.0,historico,1928-07-18,14:05:00
-15.0,-70.5,250,0.0,6.8,0.0,historico,1928-09-21,08:27:05
-8.5,-75.5,150,0.0,6.8,0.0,historico,1929-05-25,06:59:38
-9.5,-70.5,650,0.0,6.5,0.0,historico,1930-08-04,00:04:31
-3.44,-77.51,135,0.0,6.3,0.0,historico,1930-11-24,01:06:48
-9.25,-79.0,0,0.0,6.3,0.0,historico,1931-04-02,20:56:11
-14.5,-75.5,0,0.0,6.0,0.0,historico,1931-06-15,06:19:55
-14.139,-71.36,15,4.0,0.0,0.0,historico,1931-06-18,09:35:00
-8.5,-74.5,120,0.0,6.3,0.0,historico,1931-07-11,00:56:13
-11.881,-77.734,40,0.0,6.7,0.0,historico,1932-01-19,21:30:50
-6.5,-81.5,0,6.4,0.0,0.0,historico,1932-06-24,21:31:41
-6.0,-81.0,50,0.0,6.0,0.0,historico,1932-09-05,01:23:50
-15.379,-74.348,90,0.0,6.5,0.0,historico,1932-12-09,03:34:55
-15.75,-75.25,80,0.0,6.0,0.0,historico,1933-07-22,23:13:11
-15.5,-75.5,80,0.0,6.0,0.0,historico,1933-07-31,10:23:07
-13.151,-76.526,60,0.0,6.5,0.0,historico,1933-08-05,21:54:52
-13.0,-80.0,0,0.0,5.6,0.0,historico,1933-08-20,17:59:16
-13.0,-80.0,0,0.0,5.6,0.0,historico,1933-08-22,04:49:58
-10.9,-69.5,65,0.0,6.5,0.0,historico,1933-08-29,09:52:36
-7.0,-75.25,120,0.0,6.3,0.0,historico,1933-09-30,21:40:42
-2.0,-81.0,0,0.0,6.9,0.0,historico,1933-10-02,10:29:21
-1.75,-80.75,0,0.0,6.3,0.0,historico,1933-10-03,05:21:00
-1.75,-80.75,0,0.0,6.0,0.0,historico,1933-10-03,09:21:49
-5.0,-81.5,0,5.2,0.0,0.0,historico,1933-12-29,03:17:01
-5.0,-78.0,110,0.0,6.3,0.0,historico,1934-10-29,18:25:23
-19.5,-69.5,11,0.0,6.9,0.0,historico,1934-12-04,12:24:38
-9.82,-77.43,25,4.6,0.0,0.0,historico,1935-03-05,17:35:00
-12.0,-78.0,150,0.0,5.8,0.0,historico,1935-03-08,21:54:37
-15.5,-73.0,120,0.0,6.0,0.0,historico,1935-03-26,14:54:47
-15.5,-70.0,250,0.0,6.5,0.0,historico,1935-09-19,04:55:47
-8.0,-75.0,160,0.0,6.0,0.0,historico,1936-05-05,22:38:55
-18.0,-70.0,140,0.0,6.0,0.0,historico,1936-07-04,03:52:35
-16.0,-72.5,130,5.5,5.8,0.0,historico,1936-09-16,12:44:13
-13.5,-75.0,120,5.4,5.5,0.0,historico,1937-03-28,07:21:42
-15.5,-71.0,120,0.0,6.8,0.0,historico,1937-03-29,02:49:47
-7.729,-77.981,20,4.4,0.0,0.0,historico,1937-04-07,19:00:00
-7.73,-77.98,10,3.9,0.0,0.0,historico,1937-04-16,19:00:00
-8.268,-79.233,60,5.8,6.8,0.0,historico,1937-06-21,10:13:04
-9.0,-79.0,150,5.5,5.8,0.0,historico,1937-06-22,00:34:03
-7.8,-80.3,0,5.4,0.0,0.0,historico,1937-06-24,09:57:18
-16.0,-72.0,180,5.6,6.0,0.0,historico,1937-07-09,12:27:40
-14.7,-69.9,0,4.7,0.0,0.0,historico,1937-10-02,11:22:24
-13.5,-77.0,90,5.3,5.3,0.0,historico,1937-10-14,22:41:15
-15.5,-68.5,20,0.0,4.5,0.0,historico,1937-11-02,19:00:00
-10.0,-73.5,120,5.4,5.5,0.0,historico,1937-11-07,04:08:43
-10.55,-75.63,25,5.7,6.2,0.0,historico,1937-12-24,01:20:40
-6.0,-75.0,100,5.6,6.0,0.0,historico,1938-01-16,16:41:47
-7.2,-80.3,0,5.8,0.0,0.0,historico,1938-09-09,12:27:12
-12.87,-76.42,80,5.7,6.3,0.0,historico,1939-04-25,07:53:37
-14.148,-71.635,20,0.0,6.3,0.0,historico,1939-06-23,23:22:24
-18.5,-70.5,130,5.5,5.8,0.0,historico,1939-09-13,13:03:30
-11.5,-75.5,60,5.6,6.0,0.0,historico,1939-09-20,01:53:12
-15.0,-75.5,0,5.5,5.6,0.0,historico,1939-11-18,02:42:15
-8.5,-77.5,130,5.4,5.5,0.0,historico,1939-11-26,01:26:18
-17.0,-74.0,100,5.4,5.5,0.0,historico,1939-12-13,13:45:24
-11.5,-77.0,50,5.4,5.6,0.0,historico,1940-01-30,06:56:55
-6.5,-81.0,0,5.4,5.6,0.0,historico,1940-05-04,11:44:30
-7.0,-80.0,0,5.6,6.0,0.0,historico,1940-05-04,21:03:42
-11.22,-77.79,50,6.6,8.0,7.9,historico,1940-05-24,11:33:57
-14.0,-74.0,120,5.4,5.5,0.0,historico,1940-08-04,11:07:05
-11.5,-75.0,110,5.6,6.0,0.0,historico,1940-08-25,21:27:59
-17.8,-70.4,0,4.7,0.0,0.0,historico,1940-10-04,23:46:36
-17.8,-70.4,200,4.7,0.0,0.0,historico,1940-10-06,10:35:42
-17.8,-70.4,200,4.0,0.0,0.0,historico,1940-10-11,21:58:54
-17.8,-70.4,200,4.9,0.0,0.0,historico,1940-10-15,02:54:18
-2.0,-76.0,140,5.6,6.0,0.0,historico,1940-10-22,21:23:15
-3.25,-76.75,120,5.8,6.5,0.0,historico,1941-01-24,00:44:03
-14.486,-74.48,110,0.0,6.2,0.0,historico,1941-05-11,00:08:00
-13.67,-71.96,100,7.0,7.0,0.0,historico,1941-09-18,08:14:09
-16.0,-73.5,100,5.6,0.0,0.0,historico,1941-10-14,19:07:06
-15.5,-74.0,110,0.0,6.0,0.0,historico,1941-10-15,04:35:15
-6.0,-78.5,110,5.6,6.0,0.0,historico,1942-01-08,10:12:31
-2.0,-76.9,0,0.0,6.2,0.0,historico,1942-06-12,05:21:30
-15.549,-74.742,70,6.7,8.1,8.2,historico,1942-08-24,17:50:27
-6.0,-77.0,130,5.9,6.8,0.0,historico,1942-11-06,08:31:10
-5.0,-80.7,0,5.7,0.0,0.0,historico,1943-01-06,04:51:03
-14.2,-71.5,25,0.0,5.0,0.0,historico,1943-01-31,00:00:00
-15.0,-72.0,190,6.0,7.0,0.0,historico,1943-02-16,02:28:35
-6.5,-76.0,140,5.8,6.5,0.0,historico,1943-04-04,22:08:58
-16.0,-74.0,0,5.9,6.8,0.0,historico,1943-07-05,16:07:54
-17.0,-70.0,160,5.5,5.8,0.0,historico,1943-07-06,04:40:00
-13.57,-71.96,30,3.7,0.0,0.0,historico,1944-01-31,19:00:00
-14.5,-70.5,200,5.4,7.0,0.0,historico,1944-02-28,22:41:53
-10.0,-71.0,600,5.7,6.3,0.0,historico,1944-06-07,21:38:04
-5.0,-80.8,0,4.5,0.0,0.0,historico,1945-02-06,18:27:49
-16.5,-71.7,15,3.8,0.0,0.0,historico,1945-02-08,04:40:00
-17.7,-70.0,30,3.9,0.0,0.0,historico,1945-02-08,21:25:00
-10.8,-78.3,60,4.2,0.0,0.0,historico,1945-02-09,11:10:00
-10.8,-78.3,60,4.7,0.0,0.0,historico,1945-02-10,15:30:00
-10.8,-78.3,60,4.7,0.0,0.0,historico,1945-02-17,08:45:00
-10.8,-78.3,60,4.2,0.0,0.0,historico,1945-02-17,13:35:00
-13.0,-76.8,40,4.5,0.0,0.0,historico,1945-02-26,22:37:00
-12.7,-77.8,40,4.5,0.0,0.0,historico,1945-03-06,12:10:00
-11.66,-76.32,30,3.0,0.0,0.0,historico,1945-03-13,21:00:00
-11.5,-78.1,30,4.8,0.0,0.0,historico,1945-03-14,00:45:00
-4.4,-81.6,30,4.5,0.0,0.0,historico,1945-03-15,16:20:00
-13.5,-75.26,25,3.4,0.0,0.0,historico,1945-03-16,03:35:00
-13.5,-75.26,25,3.4,0.0,0.0,historico,1945-03-17,09:15:00
-15.6,-74.8,60,4.3,0.0,0.0,historico,1945-03-18,08:45:00
-12.0,-77.8,40,4.8,0.0,0.0,historico,1945-03-21,18:45:00
-15.2,-73.1,25,4.0,0.0,0.0,historico,1945-03-26,20:45:00
-16.5,-71.9,25,3.6,0.0,0.0,historico,1945-03-27,21:15:00
-5.0,-79.43,30,3.1,0.0,0.0,historico,1945-03-28,19:50:00
-15.9,-73.2,20,3.9,0.0,0.0,historico,1945-03-29,10:30:00
-16.5,-72.0,25,3.5,0.0,0.0,historico,1945-03-29,22:00:00
-9.6,-75.9,30,3.9,0.0,0.0,historico,1945-04-04,05:10:00
-5.85,-77.0,30,3.9,0.0,0.0,historico,1945-04-06,04:00:00
-4.4,-81.6,30,4.3,0.0,0.0,historico,1945-04-07,12:56:00
-13.5,-75.26,30,3.5,0.0,0.0,historico,1945-04-11,04:54:00
-17.0,-71.6,25,4.2,0.0,0.0,historico,1945-04-14,01:47:00
-7.7,-79.6,50,4.5,0.0,0.0,historico,1945-04-15,07:13:00
-16.6,-71.8,30,3.4,0.0,0.0,historico,1945-04-29,22:50:00
-18.2,-69.95,30,3.8,0.0,0.0,historico,1945-05-02,00:55:00
-4.6,-81.6,30,4.9,0.0,0.0,historico,1945-05-02,00:58:00
-5.2,-81.4,30,4.6,0.0,0.0,historico,1945-05-02,04:30:00
-10.6,-75.7,25,4.2,0.0,0.0,historico,1945-05-02,04:45:00
-12.0,-77.8,40,4.8,0.0,0.0,historico,1945-05-06,05:00:00
-5.3,-80.55,80,4.7,0.0,0.0,historico,1945-05-07,04:30:00
-13.5,-75.26,30,3.0,0.0,0.0,historico,1945-05-11,00:00:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-05-13,21:30:00
-4.4,-81.6,30,4.4,0.0,0.0,historico,1945-05-16,08:45:00
-13.5,-75.26,25,3.4,0.0,0.0,historico,1945-05-24,10:30:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-05-30,15:00:00
-15.06,-74.68,20,3.4,0.0,0.0,historico,1945-05-31,04:55:00
-8.2,-79.2,50,3.8,0.0,0.0,historico,1945-06-01,03:50:00
-15.5,-73.0,110,5.0,0.0,0.0,historico,1945-06-04,05:20:00
-13.6,-76.6,50,4.3,0.0,0.0,historico,1945-06-09,21:22:00
-5.0,-80.8,0,4.5,0.0,0.0,historico,1945-06-14,14:05:40
-11.6,-77.5,60,4.0,0.0,0.0,historico,1945-06-15,06:46:00
-11.6,-77.5,60,4.0,0.0,0.0,historico,1945-06-15,10:46:00
-15.6,-74.8,60,4.3,0.0,0.0,historico,1945-06-18,02:00:00
-15.6,-74.8,60,4.3,0.0,0.0,historico,1945-06-20,01:00:00
-15.6,-74.8,60,4.3,0.0,0.0,historico,1945-06-26,00:00:00
-16.5,-72.1,30,3.3,0.0,0.0,historico,1945-07-07,11:25:00
-12.0,-77.8,50,4.3,0.0,0.0,historico,1945-07-09,20:02:00
-16.5,-72.1,15,3.6,0.0,0.0,historico,1945-07-13,08:28:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-07-14,16:30:00
-16.608,-72.222,70,4.6,0.0,0.0,historico,1945-07-18,01:32:36
-11.8,-77.6,40,4.6,0.0,0.0,historico,1945-07-21,03:30:00
-17.9,-70.3,30,3.5,0.0,0.0,historico,1945-07-23,05:25:00
-13.0,-76.2,80,4.7,0.0,0.0,historico,1945-07-26,09:20:00
-5.85,-77.0,30,4.1,0.0,0.0,historico,1945-08-03,19:00:00
-15.6,-74.8,90,4.2,0.0,0.0,historico,1945-08-07,05:30:00
-13.0,-76.2,80,4.7,0.0,0.0,historico,1945-08-07,15:15:00
-12.8,-77.4,90,5.0,0.0,0.0,historico,1945-08-09,23:23:00
-17.0,-71.1,30,3.7,0.0,0.0,historico,1945-08-10,03:47:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-08-16,13:15:00
-11.0,-76.0,30,4.4,0.0,0.0,historico,1945-08-19,00:30:26
-15.6,-74.8,90,4.7,0.0,0.0,historico,1945-08-20,01:00:00
-11.565,-76.1,150,5.9,6.8,0.0,historico,1945-08-21,11:29:37
-8.6,-79.6,60,4.8,0.0,0.0,historico,1945-08-30,01:25:00
-18.1,-70.0,30,3.7,0.0,0.0,historico,1945-09-05,03:25:00
-14.5,-76.0,40,4.2,0.0,0.0,historico,1945-09-09,04:30:00
-15.248,-76.281,40,0.0,6.1,0.0,historico,1945-09-09,07:56:20
-9.6,-78.6,70,4.1,0.0,0.0,historico,1945-09-13,13:00:00
-17.0,-71.2,30,3.8,0.0,0.0,historico,1945-09-16,10:56:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-09-21,05:34:00
